Andy Pettitte,776
Tom Glavine,610
John Smoltz,603
Roger Clemens,574
Greg Maddux,557
Justin Verlander,547
Clayton Kershaw,514
Jon Lester,445
Whitey Ford,414
Mariano Rivera,410
John Lackey,406
Mike Mussina,403
Dave Stewart,382
Curt Schilling,382
Catfish Hunter,381
CC Sabathia,372
Orel Hershiser,371
Jim Palmer,360
David Wells,350
Randy Johnson,347
Max Scherzer,326
David Cone,322
Adam Wainwright,317
Zack Greinke,308
Chris Carpenter,306
Orlando Hernandez,305
Madison Bumgarner,295
Christy Mathewson,281
Cole Hamels,289
Don Sutton,289
David Price,289